,141Pr,142Nd,143Nd,144Nd,145Nd,146Nd,147Sm,148Nd,149Sm,150Nd,151Eu,152Sm,153Eu,154Sm,155Gd,156Gd,157Gd,158Gd,159Tb,160Gd,161Dy,162Dy,163Dy,164Dy,165Ho,166Er,167Er,168Er,169Tm,170Er,171Yb,172Yb,173Yb,174Yb,175Lu,176Yb,150Sm,191Ir,193Ir
141Pr,,0.0051,,,,,,,,,,,,,,,0.0243,,,,,,,,,,,,,,,,,,,,,,
142Nd,,,0.0062,0.0033,,,,,,,,,,,,,,0.0173,,,,,,,,,,,,,,,,,,,,,
143Nd,,0.0081,,0.0208,0.0021,0.0023,,,,,,,,,,,,,0.0215,,,,,,,,,,,,,,,,,,,,
144Nd,,0.0023,0.0023,,0.0092,0.0032,,,,,,,,,,,,,,0.0205,,,,,,,,,,,,,,,,,,,
145Nd,,0.003,0.0021,0.012,,0.0435,,,,,,,,,,,,,,,0.0251,,,,,,,,,,,,,,,,,,
146Nd,,0.0033,0.0015,0.0036,0.0025,,0.0035,0.0027,,,,,,,,,,,,,,0.0224,,,,,,,,,,,,,,,,,
147Sm,,,,,,,,0.031,0.0053,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,
148Nd,,0.0049,0.0022,0.005,,0.007,,,0.0027,0.0053,,,,,,,,,,,,,,0.0233,,,,,,,,,,,,,,,
149Sm,,,,,,,,0.0083,,0.0181,,0.0033,,,,,,,,,,,,,0.0034,,,,,,,,,,,,,,
150Nd,,0.0036,0.0022,0.0049,0.0015,0.0036,,0.0022,,,0.0046,,,,,,,,,,,,,,,0.0193,,,,,,,,,,,,,
151Eu,,,,,,,,,,,,0.006,0.0086,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,
152Sm,,,,,,,,,,,,,0.0023,0.009,,,,,,,,,,,,,,0.0034,,,,,,,,,,,
153Eu,,,,,,,,,,,0.007,,,0.0033,,,,,,,,,,,,,,,0.0003,,,,,,,,,,
154Sm,,,,,,,,,,,,0.0067,,,0.0084,,,,,,,,,,,,,,,0.0032,,,,,,,,,
155Gd,,,,,,,,,,,,,,,,0.0041,,,,,,,,,,,,,,,0.0055,,,,,,,,
156Gd,,,,,,,,,,,,,,,0.0114,,0.0381,0.01,,,,,,,,,,,,,,0.0038,,,,,,,
157Gd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158Gd,,,,,,,,,,,,,,,,0.0025,0.01,,0.0032,0.007,,,,,,,,,,,,,,0.0047,,,,,
159Tb,,,,,,,,,,,,,,,,,,,,0.0124,,,,,,,,,,,,,,,0.0046,,,,
160Gd,,,,,,,,,,,,,,,,0.0026,0.0023,0.0083,,,0.0078,,,,,,,,,,,,,,,0.0034,,,
161Dy,,,,,,,,,,,,,,,,,,,,0.0024,,0.0314,0.0081,0.0022,,,,,,,,,,,,,,,
162Dy,,,,,,,,,,,,,,,,,,,,,0.0162,,0.0432,0.0091,,,,,,,,,,,,,,,
163Dy,,,,,,,,,,,,,,,,,,,,,0.0033,0.0123,,0.0209,,,,,,,,,,,,,,,
164Dy,,,,,,,,,,,,,,,,,,,,,,0.0034,0.0105,,0.0062,,,,,,,,,,,,,,
165Ho,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062,,,,,,,,,,,,,
166Er,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0128,0.0039,,,,,,,,,,,
167Er,,,,,,,,,,,,,,,,,,,,,,,,,,0.0179,,0.0494,0.0007,,,,,,,,,,
168Er,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067,0.0131,,0.016,0.0035,,,,,,,,,
169Tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0145,0.0012,0.0005,,,,,,,
170Er,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036,0.003,0.0059,,,,,,,,,,,
171Yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0629,0.004,0.003,,,,,
172Yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031,,0.0245,0.0041,,,,,
173Yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032,0.0155,,0.063,0.0017,0.0027,,,
174Yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034,,0.0295,0.0031,,,
175Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,
176Yb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021,,,,,
150Sm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191Ir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193Ir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
